,week,driver_id,mensaje
0,11,370425,¡Excelente trabajo!
1,11,465779,¡Excelente trabajo!
2,11,440895,¡Excelente trabajo!
3,11,427199,¡Excelente trabajo!
4,11,653770,¡Excelente trabajo!
5,11,144250,¡Excelente trabajo!
6,11,545148,¡Excelente trabajo!
7,11,476245,¡Excelente trabajo!
8,11,524684,Bien hecho.
9,11,649163,Bien hecho.
10,11,634083,Bien hecho.
11,11,647176,Bien hecho.
12,11,283943,Bien hecho.
13,11,499936,Bien hecho.
14,11,379780,Bien hecho.
15,11,681641,Bien hecho.
16,11,472716,Bien hecho.
17,11,694272,Bien hecho.
18,11,485491,Bien hecho.
19,11,649155,Bien hecho.
20,11,471342,Bien hecho.
21,11,483976,Bien hecho.
22,11,581593,Bien hecho.
23,11,593204,Bien hecho.
24,11,678596,Bien hecho.
25,11,676735,Bien hecho.
26,11,650081,Bien hecho.
27,11,276993,Bien hecho.
28,11,364173,Bien hecho.
29,11,649157,Bien hecho.
30,11,590533,Bien hecho.
31,11,585681,Bien hecho.
32,11,593201,Bien hecho.
33,11,587522,Bien hecho.
34,11,472433,Bien hecho.
35,11,593211,Bien hecho.
36,11,472059,Bien hecho.
37,11,593212,Bien hecho.
38,11,382413,Bien hecho.
39,11,359781,Bien hecho.
40,11,618510,Bien hecho.
41,11,676737,Bien hecho.
42,11,480282,Bien hecho.
43,11,641356,Bien hecho.
44,11,644184,Bien hecho.
45,11,657653,Bien hecho.
46,11,472480,Bien hecho.
47,11,475943,Bien hecho.
48,11,589766,Bien hecho.
49,11,676744,Bien hecho.
50,11,622082,Sigue mejorando.
51,11,465133,Sigue mejorando.
52,11,457710,Sigue mejorando.
53,11,280920,Sigue mejorando.
54,11,457602,Sigue mejorando.
55,11,653760,Sigue mejorando.
56,11,650079,Sigue mejorando.
57,11,371802,Sigue mejorando.
58,11,539244,Sigue mejorando.
59,11,685061,Sigue mejorando.
60,11,461206,Sigue mejorando.
61,11,505787,Sigue mejorando.
62,11,440939,Sigue mejorando.
63,11,503650,Sigue mejorando.
64,11,674783,Sigue mejorando.
65,11,480394,Sigue mejorando.
66,11,593206,Sigue mejorando.
67,11,589907,Sigue mejorando.
68,11,455894,Sigue mejorando.
69,11,457699,Sigue mejorando.
70,11,678679,Sigue mejorando.
71,11,649156,Sigue mejorando.
72,11,641340,Sigue mejorando.
73,11,425353,Sigue mejorando.
74,11,634086,Sigue mejorando.
75,11,655802,Sigue mejorando.
76,11,683252,Sigue mejorando.
77,11,512738,Sigue mejorando.
78,11,595199,Sigue mejorando.
79,11,591520,Sigue mejorando.
80,11,547138,Sigue mejorando.
81,11,641359,Sigue mejorando.
82,11,503636,Sigue mejorando.
83,11,647174,Sigue mejorando.
84,11,377316,Sigue mejorando.
85,11,675340,Sigue mejorando.
86,11,587703,Sigue mejorando.
87,11,531159,Sigue mejorando.
88,11,359415,Sigue mejorando.
89,11,423205,Sigue mejorando.
90,11,476553,Sigue mejorando.
91,11,651704,Sigue mejorando.
92,11,593167,Sigue mejorando.
93,11,655808,¡El cierre de los pedidos necesita mejorar!
94,11,284449,¡Recuerda que cancelar puede llevar a sanciones!
95,11,681650,¡Recuerda que cancelar puede llevar a sanciones! ¡Tienes que mejorar la puntualidad!
96,11,681640,¡Recuerda que cancelar puede llevar a sanciones! ¡Tienes que mejorar la puntualidad!
97,11,655806,¡Recuerda que cancelar puede llevar a sanciones!
98,11,655803,¡Recuerda que cancelar puede llevar a sanciones!
99,11,675356,¡Recuerda que cancelar puede llevar a sanciones! ¡Tienes que mejorar la puntualidad!
100,11,465128,¡Tienes que mejorar la puntualidad!
101,11,681631,¡El cierre de los pedidos necesita mejorar! ¡Tienes que mejorar la puntualidad!
102,11,681637,¡Recuerda que cancelar puede llevar a sanciones! ¡Tienes que mejorar la puntualidad!
103,11,515998,¡Recuerda que cancelar puede llevar a sanciones! ¡Tienes que mejorar la puntualidad!
104,11,473954,¡Recuerda que cancelar puede llevar a sanciones! ¡Tienes que mejorar la puntualidad!
105,11,655807,¡El cierre de los pedidos necesita mejorar!
106,11,591459,¡Recuerda que cancelar puede llevar a sanciones!
107,11,525921,¡Recuerda que cancelar puede llevar a sanciones! ¡Tienes que mejorar la puntualidad!
108,11,591508,¡Tienes que mejorar la puntualidad!
109,11,480283,¡Tienes que mejorar la puntualidad!
110,11,471437,¡Tienes que mejorar la puntualidad!
111,11,457604,No hay puntuación total disponible.
112,11,676819,No hay puntuación total disponible.
113,11,678593,No hay puntuación total disponible.
114,11,685063,No hay puntuación total disponible.
